Date,Area Name,Road/Intersection Name,Traffic Volume,Average Speed,Travel Time Index,Congestion Level,Road Capacity Utilization,Incident Reports,Environmental Impact,Public Transport Usage,Traffic Signal Compliance,Parking Usage,Pedestrian and Cyclist Count,Weather Conditions
01-01-2022,Indiranagar,100 Feet Road,50590,50.23029856,4,88,78,5,80,22,56,54,67,Clear
01-01-2022,Indiranagar,CMH Road,30825,29.37712471,1.5,54,54,4,67,12,32,32,67,Clear
01-01-2022,Whitefield,Marathahalli Bridge,7399,54.47439821,2,34,89,2,64.798,56,45,12,65,Clear
01-01-2022,Koramangala,Sony World Junction,60874,43.81761039,2.5,23,78,6,34,43,12,23,87,Clear
01-01-2022,Koramangala,Sarjapur Road,57292,41.11676289,1.5,43,77,8,56,87,78,98,76,Clear
01-01-2022,M.G. Road,Trinity Circle,47848,34.24196255,6,54,90,7,111,67,98,67,55,Overcast
01-01-2022,M.G. Road,Anil Kumble Circle,36574,29.98242956,4,65,98,9,145,54,78,56,108,Clear
01-01-2022,Jayanagar,Jayanagar 4th Block,25379,38.45517944,5,67,96,5,100,34,43,45,77,Clear
01-01-2022,Jayanagar,South End Circle,25022,35.03937304,3,78,67,4,87,12,55,34,19,Clear
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
